Id_cosecha;Superf;TT_est; Neto_KG; Toneladas_recibidas; Average of HUMEDAD; Average of PROTEINA;Max of VITASCOPIO; Average of PRIMERA+SEGUNDA; Average of CUARTA;Max of PUREZA_VARIETAL;Max of FALLING_NUMBER;Max of DON; Average of CUERPOS EXT+QUEBRADO+DAÑADO ;Count of Fertil;Cosecha;Fecha_siembra;Variedad;Departamento;Weath_ref; Precip.Acumulada_(mm); Heliofanía_Relativa_(%); Rad.Solar_(xHelio)cal/cma²; Humedad_Rel.
7831;140;490;853.660;821;11,7074;9,8667;99;96,7704;0,2852;100;347;53;1,5185;1;2022;15/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7832;25;83;156.530;130;10,6;10,7167;100;90,4667;1,0167;100;275,5;256,7;2,0333;1;2022;27/7/2022;NAHARA;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7833;80;240;426.330;379;12,1375;10,1625;100;93,4531;0,5375;100;344;208;2,375;1;2022;20/6/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7834;29;96;170.270;145;10,2429;10,9857;100;84,4429;1,4143;100;357;105,9;2,1714;1;2022;6/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7835;63;189;275.580;276;11,47;11,59;100;95,1;0,53;100;324;105,2;1,33;1;2022;17/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7837;11;33;31.290;31;12,2;11,3;97;90,9;0,7;86;323,5;133;2,6;1;2022;8/6/2022;ARRAYAN;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7838;63;208;403.100;376;10,8263;10,5737;99;96,2368;0,1474;100;296;121;3,0105;1;2022;17/6/2022;FANA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7839;125;438;665.310;665;11,4045;11,1818;100;83,3364;1,5955;100;326;0;0,9727;1;2022;13/6/2022;DANIELLE;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7840;84;294;433.940;401;12,1077;12,0846;-1;96,7231;0,2154;100;-1;-1;1,4385;1;2022;5/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7841;15;45;55.130;55;12,7;12,85;100;96,75;0,1;97;326;500;2;1;2022;20/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7842;205;718;554.350;554;11,6556;11,5111;99;95,8;0,35;100;323;135;1,2944;1;2022;31/5/2022;OSIRIS;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7843;63;208;323.630;310;11,8333;10,775;-1;91,1583;1,125;100;-1;-1;1,15;1;2022;9/6/2022;DANIELLE;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7845;105;347;601.670;602;10,825;11,145;100;97,015;0,145;100;327;188;2,035;1;2022;6/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7846;76;266;534.250;467;9,5706;11,5529;99;85,1471;1,2647;100;366;101;1,8;1;2022;9/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7847;125;438;466.100;676;12,0471;12,0176;98;90,4824;1,3;100;356;121,6;0,9941;1;2022;1/6/2022;OSIRIS;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7848;53;186;273.170;273;14,3071;11,5929;98;93,2071;0,55;100;267;111;1,2;1;2022;6/6/2022;DANIELLE;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
